sf_gamma,p,pr_local_large_a,pr_inflicted_large_a,pr_any_large_a,pr_global_large,n_events
3.0,0.004,0.07468194568478621,0.01111465040547556,0.042787197706603664,0.027405281305095813,298719
3.0,0.005,0.06705647877940556,0.020102663745628913,0.04395958481451069,0.030536251598162454,301026
3.0,0.0075,0.0679561524446056,0.022974755807059204,0.045331284317236195,0.03227115131924774,297942
3.0,0.01,0.06673654612821661,0.02465776417945504,0.045411593828223365,0.03291775253694703,298192
3.0,0.02,0.05893314230918603,0.0324522112775682,0.045780156484049345,0.036974224912417,298681
3.0,0.03,0.0567745898112029,0.03313200232798431,0.04494275172578986,0.03794340424286226,302156
3.0,0.05,0.05261352343036704,0.03886201426199659,0.04578274862084987,0.04174023532308735,296837
3.0,0.075,0.050696938532069045,0.04077900378031667,0.04570481015761672,0.044004792617594796,294626
3.0,0.1,0.048613117837460404,0.043683436449509574,0.046167573763424646,0.04543195016551549,291463
3.5,0.0001,0.08584212907482086,0.0,0.042695654782710014,0.024575561037939533,289328
3.5,0.0002,0.0852601021968093,0.0015390642489366466,0.04346132443273143,0.02521134551290445,286389
3.5,0.0003,0.08344426411289713,0.002458291901447354,0.0429334220673175,0.02519742494576331,289355
3.5,0.0005,0.08497559900087162,0.002434727116339724,0.0432891418018429,0.025264208382180922,289368
3.5,0.0007,0.08405820419972886,0.0038905950888983762,0.04387247984525386,0.02572804504314765,289117
3.5,0.001,0.08231409973539851,0.0034424597688436655,0.04311192696773193,0.025830012222893585,290303
3.5,0.0015,0.08126614304204063,0.007860681232144447,0.04438791221807011,0.027439642798330104,287822
3.5,0.002,0.08037878216368816,0.009639590249782701,0.04481602252666077,0.0278148820723908,288110
3.5,0.003,0.08040663083753491,0.008347497349492146,0.04483973425256371,0.027461805064674084,286285
3.5,0.004,0.07856610020702787,0.012930845155930362,0.04549545689249443,0.028900523861184888,287573
3.5,0.005,0.07337931863231732,0.019324021458086586,0.04637883168913545,0.03144675063170796,289481
3.5,0.0075,0.07112856025669138,0.02223166308906811,0.04659584251149869,0.03301454945800217,287986
3.5,0.01,0.06865136149114218,0.025377305048531612,0.04714715136323193,0.03434987556530248,288776
3.5,0.02,0.06274326649643115,0.03282548982426126,0.04795437524684393,0.03931287630393973,286105
3.5,0.03,0.057316061658774974,0.037907597047742506,0.047658481417064066,0.04308095599055074,285155
3.5,0.05,0.054464501693005804,0.04111682214151702,0.04775298570302469,0.04544714110185795,284172
3.5,0.075,0.052077789664568164,0.044935412429570123,0.04849381505831597,0.04698727611407811,280779
3.5,0.1,0.050962498407570944,0.04574690567620222,0.048364954322552306,0.04747505194824589,281815
inf,0.0001,0.09552284243395029,0.0,0.047842679001291626,0.025588667908422548,265587
inf,0.0002,0.09417382743776327,0.001493202585246267,0.04789258954082524,0.025988102298600785,267432
inf,0.0003,0.09048860509453155,0.005555724138985441,0.04845910640255385,0.0279247074326765,267530
inf,0.0005,0.09298599506000177,0.004061454007279637,0.048503063870164585,0.02712486906775438,267741
inf,0.0007,0.09365996642025753,0.0023992322456813818,0.0478328883932449,0.026425620073133628,267115
inf,0.001,0.09368628253382985,0.0027851834199669355,0.047973119798175326,0.02610410363320854,265942
inf,0.0015,0.0920193881155231,0.0067220813747293166,0.049234139437495605,0.027894835525181214,265027
inf,0.002,0.09090781790575124,0.007257563866651825,0.049095634122473836,0.028369821758570272,265978
inf,0.003,0.08677301063779927,0.010856034882542902,0.04870255285796683,0.030077486252888086,267791
inf,0.004,0.08662430712053701,0.011587562650500944,0.04910957771878492,0.030218811583745224,267722
inf,0.005,0.08045173859006388,0.021583002294000578,0.05095489682786125,0.035701542381188126,263312
inf,0.0075,0.07718644991202506,0.025374788273762456,0.050998051453138175,0.037451272716865255,264012
inf,0.01,0.07756206421385843,0.024253630445627276,0.05085573330737603,0.03711083738312837,264746
inf,0.02,0.0664784281528869,0.036009789035836445,0.051282352308507376,0.04382239514107833,263667
inf,0.03,0.06161856073969152,0.0399799599701509,0.05073149904543296,0.04636646295898396,265083
inf,0.05,0.056911320480468056,0.04556687708753982,0.0512538685794052,0.04948288512389891,262516
inf,0.075,0.05415223182931936,0.048952428193228176,0.0515489314987069,0.05066002172418933,261205
inf,0.1,0.053715954614204496,0.05041018542314673,0.05206795964424572,0.05161206554123615,258622
